expr_str,reward,MSE,complexity
-0.22*x + 1.792*tanh(1.959*x) + 0.484,0.8497161059680507,0.00939229,7
(0.212 - 1.362*cos(2.593*x))*exp(-1.375*x) + 1.76,0.8405279658210358,0.001937029,13
(3.351*cos(1.815*x) + 14.018)/(6.362*x - 7.647 + 10.256/x) + 0.653,0.8342687079136322,0.0017078498,14
(0.544918*x - 4.239188*tanh(0.48*x) + 3.412852)*tanh(1.01*x) + 0.468,0.8297554865698955,0.004657828,12
-4.006*tanh(2.484*x) + 5.744 - 5.057*exp(-2.279*x)*cos(2.25*x),0.81012384144719,0.0016411836,17
1.79500000000000,0.7991966493247032,0.06312983,0
1.669*x/((0.876*x - 0.955*sin(1.555*x) + 1.032)*cosh(0.678*sin(1.162*x))) + 0.669,0.7865507537025854,0.0015892525,20
0.027324*x + 1.750912,0.783859973739942,0.06267556,2
0.048*cosh(0.023*x + 3.183) + 1.203,0.7577428205518875,0.058796454,6
